"","Year","Age.Group","Income Group","Alcoholic beverages","Apparel and services","At least one vehicle owned or leased","Cash contributions","College","Education","Entertainment","Food","Food at home","Healthcare","Homeowner","Housing","Income after taxes","Male","Miscellaneous","Personal care products and services","Personal insurance and pensions","Reading","Tobacco products and smoking supplies","Transportation","With mortgage"
"1","2004-2005","25 to 34 years","Total","499","2107","89","948","66","759","2280","5669","3049","1524","49","14962","52095","48","650","527","4946","92","296","8640","42"
"2","2004-2005","25 to 34 years","Less than 5000$","117","903","57","341","50","1391","969","3032","2077","477","24","8487","956","33","149","244","221","64","300","2873","13"
"3","2004-2005","25 to 34 years","5000$ to 9999$","130","1090","58","136","52","910","1160","3640","2488","352","19","6878","8054","33","237","245","385","39","202","3017","9"
"4","2004-2005","25 to 34 years","10000$ to 14999$","187","1684","77","241","46","912","1088","4028","2751","522","20","8450","13104","32","307","351","812","37","346","4303","9"
"5","2004-2005","25 to 34 years","15000$ to 19999$","332","1468","77","532","44","487","1101","4028","2628","550","18","9052","17750","39","462","284","1330","59","287","4176","10"
"6","2004-2005","25 to 34 years","20000$ to 29999$","265","1433","85","509","51","558","1318","4084","2595","950","28","10054","25137","45","411","359","2023","52","348","5940","20"
"7","2004-2005","25 to 34 years","30000$ to 39999$","460","1909","91","673","62","502","1591","5039","2898","1200","38","12229","33777","50","484","428","2919","71","318","7492","32"
"8","2004-2005","25 to 34 years","40000$ to 49999$","408","1753","93","821","65","813","1808","4981","2603","1685","50","13164","43108","51","686","490","3978","83","327","7635","44"
"9","2004-2005","25 to 34 years","50000$ to 69999$","582","1845","97","880","73","759","2383","6274","3194","1764","60","15634","56889","53","725","565","5535","95","321","10874","54"
"10","2004-2005","25 to 34 years","Over 70000$","784","3331","96","1855","85","929","4105","7784","3736","2448","77","23822","104400","54","1014","807","10432","154","227","12845","72"
"11","2004-2005","35 to 44 years","Total","523","2253","91","1503","61","857","2638","7052","4008","2277","69","17712","66573","48","791","644","6608","122","354","9570","59"
"12","2004-2005","35 to 44 years","Less than 5000$","206","951","57","256","42","513","745","3974","2656","716","37","10019","-3385","34","535","286","630","37","333","3506","21"
"13","2004-2005","35 to 44 years","5000$ to 9999$","96","828","54","222","33","80","671","2740","1926","549","28","7289","7968","39","478","211","328","38","415","2210","13"
"14","2004-2005","35 to 44 years","10000$ to 14999$","167","1403","69","316","33","293","819","4587","3369","808","30","8662","13071","40","346","276","835","37","360","2953","15"
"15","2004-2005","35 to 44 years","15000$ to 19999$","155","1179","79","514","36","232","846","3830","2563","973","39","8790","17642","41","353","323","1317","36","405","3357","24"
"16","2004-2005","35 to 44 years","20000$ to 29999$","204","1552","85","656","46","255","1134","4561","2907","1345","44","10077","24980","41","334","375","2061","48","398","5415","28"
"17","2004-2005","35 to 44 years","30000$ to 39999$","326","1767","91","884","49","311","1623","5432","3212","1657","60","12373","34338","43","586","444","3077","65","456","6423","48"
"18","2004-2005","35 to 44 years","40000$ to 49999$","620","1408","95","1188","53","442","1929","5962","3564","2031","67","13919","44040","48","708","496","4292","88","419","7371","56"
"19","2004-2005","35 to 44 years","50000$ to 69999$","475","2106","96","1263","64","641","2399","6895","3935","2293","74","15907","57632","52","781","568","5754","108","394","10189","64"
"20","2004-2005","35 to 44 years","Over 70000$","761","3232","97","2516","80","1601","4272","9471","5051","3272","89","26305","117149","53","1124","965","11908","203","263","14145","82"
"21","2004-2005","45 to 54 years","Total","479","2269","92","1849","63","1669","2793","7009","3944","2693","76","16800","69045","49","865","658","7116","146","402","9612","58"
"22","2004-2005","45 to 54 years","Less than 5000$","230","1131","57","613","48","213","1353","4702","2899","1261","36","9782","-1399","32","606","350","559","56","364","3655","18"
"23","2004-2005","45 to 54 years","5000$ to 9999$","143","938","56","254","36","158","709","3226","2432","695","37","7008","7767","28","278","259","384","29","360","2603","18"
"24","2004-2005","45 to 54 years","10000$ to 14999$","112","1206","71","291","35","196","856","3027","2244","1146","46","7152","12945","39","222","213","777","27","442","3147","24"
"25","2004-2005","45 to 54 years","15000$ to 19999$","182","1026","80","512","36","347","858","4382","2914","1485","48","9331","17456","40","595","310","1236","53","517","3767","26"
"26","2004-2005","45 to 54 years","20000$ to 29999$","221","1053","87","802","47","259","1288","4133","2746","1675","57","9638","24708","42","494","354","2034","69","447","5284","36"
"27","2004-2005","45 to 54 years","30000$ to 39999$","271","1366","92","716","51","402","1761","4643","2965","1981","64","11529","33904","45","668","428","3177","83","445","6097","45"
"28","2004-2005","45 to 54 years","40000$ to 49999$","382","1493","95","1056","57","374","1626","5374","3155","2394","72","12920","43529","46","510","534","4094","106","400","7023","53"
"29","2004-2005","45 to 54 years","50000$ to 69999$","435","1832","97","1343","63","855","2386","6615","3914","2731","83","14833","56550","51","975","562","5838","132","423","9256","64"
"30","2004-2005","45 to 54 years","Over 70000$","721","3485","99","3280","79","3456","4471","9730","5027","3687","93","24447","119632","56","1194","975","12723","232","362","14444","78"
"31","2004-2005","55 to 64 years","Total","455","1823","91","1864","59","727","2627","6051","3431","3352","82","15113","59690","50","905","590","5845","172","318","8700","46"
"32","2004-2005","55 to 64 years","Less than 5000$","297","962","70","826","43","a/ 200","1156","3314","2012","2256","60","8953","1036","43","451","286","336","72","233","3661","22"
"33","2004-2005","55 to 64 years","5000$ to 9999$","72","639","57","352","29","a/ 39","695","2467","1798","1483","44","6573","7942","37","208","171","340","65","305","2544","12"
"34","2004-2005","55 to 64 years","10000$ to 14999$","260","702","77","568","38","106","1275","3182","2008","1973","64","8963","12626","36","405","297","576","59","308","3458","21"
"35","2004-2005","55 to 64 years","15000$ to 19999$","118","786","84","621","40","a/ 57","996","3115","2073","2197","68","8799","17409","40","533","277","938","68","352","4541","27"
"36","2004-2005","55 to 64 years","20000$ to 29999$","234","697","92","815","44","244","2406","4223","2741","2645","78","9777","24311","38","501","380","1688","87","308","5833","32"
"37","2004-2005","55 to 64 years","30000$ to 39999$","243","1151","96","1054","48","142","1673","4499","2881","3065","83","11404","33749","46","589","356","3236","118","418","6309","41"
"38","2004-2005","55 to 64 years","40000$ to 49999$","256","1469","95","1282","54","233","1678","5417","3161","3665","86","12145","43309","47","784","534","3961","146","351","7714","46"
"39","2004-2005","55 to 64 years","50000$ to 69999$","410","1600","98","1893","67","416","2864","6297","3746","3645","89","14900","56699","54","887","563","5897","179","340","8974","54"
"40","2004-2005","55 to 64 years","Over 70000$","878","3373","98","3588","81","1855","4310","9239","4703","4406","96","24037","121538","61","1555","996","12435","299","273","14255","65"
"41","2004-2005","Less than 25 years","Total","453","1472","73","343","65","1609","1275","3814","1885","668","17","8261","24414","46","279","335","1900","50","269","5376","11"
"42","2004-2005","Less than 25 years","Less than 5000$","233","1119","46","69","79","2275","610","2114","1021","142","4","3434","2630","46","171","207","141","33","101","1497","1"
"43","2004-2005","Less than 25 years","5000$ to 9999$","382","942","58","156","75","2079","859","2327","1036","257","6","4820","7231","46","225","259","411","40","164","2323","1"
"44","2004-2005","Less than 25 years","10000$ to 14999$","404","1052","70","245","63","2143","855","2885","1459","295","9","6037","12137","40","249","287","732","43","249","4070","2"
"45","2004-2005","Less than 25 years","15000$ to 19999$","402","940","77","265","60","1310","1585","3495","1886","449","15","7526","17357","47","255","283","1203","45","296","4405","7"
"46","2004-2005","Less than 25 years","20000$ to 29999$","422","1438","82","326","55","879","1288","3447","1861","733","12","9150","24408","47","243","303","1809","47","360","6436","7"
"47","2004-2005","Less than 25 years","30000$ to 39999$","487","1634","88","506","52","714","1585","4749","2198","889","22","11012","34103","48","306","350","2817","58","365","6578","17"
"48","2004-2005","Less than 25 years","Over 40000$","692","2535","94","760","62","1472","2097","6308","3059","1607","42","14765","62982","49","470","557","5246","76","382","11085","34"
"49","2008-2009","25 to 34 years","Total","486","1918","89","1019","68","784","2636","6199","3436","1771","46","17288","58027","49","679","551","5407","74","333","8191","40"
"50","2008-2009","25 to 34 years","Less than 5000$","203","1772","60","345","52","1497","1155","5108","3573","730","19","9785","-489","45","183","432","172","28","276","4042","14"
"51","2008-2009","25 to 34 years","5000$ to 9999$","266","1412","63","473","48","583","956","3738","2344","650","12","9416","8558","36","237","289","467","30","355","3254","10"
"52","2008-2009","25 to 34 years","10000$ to 14999$","131","1408","75","226","54","632","1230","4210","2916","596","18","10884","13803","32","161","362","742","36","297","3822","11"
"53","2008-2009","25 to 34 years","15000$ to 19999$","121","1161","74","619","46","314","1059","4193","2868","573","18","10271","18441","45","247","268","1226","31","336","3925","11"
"54","2008-2009","25 to 34 years","20000$ to 29999$","263","1558","84","537","52","606","1576","4507","2816","994","23","11482","25770","45","299","343","1854","46","355","5413","15"
"55","2008-2009","25 to 34 years","30000$ to 39999$","381","1549","89","756","58","920","1942","4926","2975","1317","34","13007","34903","48","580","403","2873","52","362","7162","25"
"56","2008-2009","25 to 34 years","40000$ to 49999$","441","1356","93","881","65","439","2081","5254","2904","1641","42","14833","44521","48","626","440","3945","68","360","6679","35"
"57","2008-2009","25 to 34 years","50000$ to 69999$","544","1902","94","1121","72","645","3077","6337","3423","2069","54","17176","58226","54","704","495","5431","81","427","8948","47"
"58","2008-2009","25 to 34 years","Over 70000$","770","2732","96","1624","85","1071","4092","8742","4399","2747","72","26069","109642","52","1123","895","10841","114","256","12188","69"
"59","2008-2009","35 to 44 years","Total","480","2291","92","1565","65","944","3460","7805","4477","2510","66","20678","75294","48","914","706","7143","94","385","9095","57"
